NOMBRE COMPLETO                | SEGMENTO   | SALDO        | SALDO GLOB   | Total de Tarjetas | Ultima_Actividad_Fecha
NOMBRE_149 APELLIDO_149        | ESTANDAR   |       149000 |       149000 |       | 2026-02-16  
NOMBRE_151 APELLIDO_151        | ESTANDAR   |       151000 |       151000 |       | 2026-02-16  
NOMBRE_153 APELLIDO_153        | ESTANDAR   |       153000 |       153000 |       | 2026-02-16  
NOMBRE_155 APELLIDO_155        | ESTANDAR   |       155000 |       155000 |       | 2026-02-16  
NOMBRE_157 APELLIDO_157        | ESTANDAR   |       157000 |       157000 |       | 2026-02-16  
NOMBRE_159 APELLIDO_159        | ESTANDAR   |       159000 |       159000 |       | 2026-02-16  
NOMBRE_161 APELLIDO_161        | ESTANDAR   |       161000 |       161000 |       | 2026-02-16  
NOMBRE_163 APELLIDO_163        | ESTANDAR   |       163000 |       163000 |       | 2026-02-16  
NOMBRE_165 APELLIDO_165        | ESTANDAR   |       165000 |       165000 |       | 2026-02-16  
NOMBRE_167 APELLIDO_167        | ESTANDAR   |       167000 |       167000 |       | 2026-02-16  
NOMBRE_169 APELLIDO_169        | ESTANDAR   |       169000 |       169000 |       | 2026-02-16  
NOMBRE_171 APELLIDO_171        | ESTANDAR   |       171000 |       171000 |       | 2026-02-16  
NOMBRE_173 APELLIDO_173        | ESTANDAR   |       173000 |       173000 |       | 2026-02-16  
NOMBRE_175 APELLIDO_175        | ESTANDAR   |       175000 |       175000 |       | 2026-02-16  
NOMBRE_177 APELLIDO_177        | ESTANDAR   |       177000 |       177000 |       | 2026-02-16  
NOMBRE_179 APELLIDO_179        | ESTANDAR   |       179000 |       179000 |       | 2026-02-16  
NOMBRE_181 APELLIDO_181        | ESTANDAR   |       181000 |       181000 |       | 2026-02-16  
NOMBRE_183 APELLIDO_183        | ESTANDAR   |       183000 |       183000 |       | 2026-02-16  
NOMBRE_185 APELLIDO_185        | ESTANDAR   |       185000 |       185000 |       | 2026-02-16  
NOMBRE_187 APELLIDO_187        | ESTANDAR   |       187000 |       187000 |       | 2026-02-16  
NOMBRE_189 APELLIDO_189        | ESTANDAR   |       189000 |       189000 |       | 2026-02-16  
NOMBRE_191 APELLIDO_191        | ESTANDAR   |       191000 |       191000 |       | 2026-02-16  
NOMBRE_193 APELLIDO_193        | ESTANDAR   |       193000 |       193000 |       | 2026-02-16  
NOMBRE_195 APELLIDO_195        | ESTANDAR   |       195000 |       195000 |       | 2026-02-16  
NOMBRE_197 APELLIDO_197        | ESTANDAR   |       197000 |       197000 |       | 2026-02-16  
NOMBRE_199 APELLIDO_199        | ESTANDAR   |       199000 |       199000 |       | 2026-02-16  
NOMBRE_201 APELLIDO_201        | ESTANDAR   |       201000 |       201000 |       | 2026-02-16  
NOMBRE_203 APELLIDO_203        | ESTANDAR   |       203000 |       203000 |       | 2026-02-16  
NOMBRE_205 APELLIDO_205        | ESTANDAR   |       205000 |       205000 |       | 2026-02-16  
NOMBRE_207 APELLIDO_207        | ESTANDAR   |       207000 |       207000 |       | 2026-02-16  
NOMBRE_209 APELLIDO_209        | ESTANDAR   |       209000 |       209000 |       | 2026-02-16  
NOMBRE_211 APELLIDO_211        | ESTANDAR   |       211000 |       211000 |       | 2026-02-16  
NOMBRE_213 APELLIDO_213        | ESTANDAR   |       213000 |       213000 |       | 2026-02-16  
NOMBRE_215 APELLIDO_215        | ESTANDAR   |       215000 |       215000 |       | 2026-02-16  
NOMBRE_217 APELLIDO_217        | ESTANDAR   |       217000 |       217000 |       | 2026-02-16  
NOMBRE_219 APELLIDO_219        | ESTANDAR   |       219000 |       219000 |       | 2026-02-16  
NOMBRE_221 APELLIDO_221        | ESTANDAR   |       221000 |       221000 |       | 2026-02-16  
NOMBRE_223 APELLIDO_223        | ESTANDAR   |       223000 |       223000 |       | 2026-02-16  
NOMBRE_225 APELLIDO_225        | ESTANDAR   |       225000 |       225000 |       | 2026-02-16  
NOMBRE_227 APELLIDO_227        | ESTANDAR   |       227000 |       227000 |       | 2026-02-16  
NOMBRE_229 APELLIDO_229        | ESTANDAR   |       229000 |       229000 |       | 2026-02-16  
NOMBRE_231 APELLIDO_231        | ESTANDAR   |       231000 |       231000 |       | 2026-02-16  
NOMBRE_233 APELLIDO_233        | ESTANDAR   |       233000 |       233000 |       | 2026-02-16  
NOMBRE_235 APELLIDO_235        | ESTANDAR   |       235000 |       235000 |       | 2026-02-16  
NOMBRE_237 APELLIDO_237        | ESTANDAR   |       237000 |       237000 |       | 2026-02-16  
NOMBRE_239 APELLIDO_239        | ESTANDAR   |       239000 |       239000 |       | 2026-02-16  
NOMBRE_241 APELLIDO_241        | ESTANDAR   |       241000 |       241000 |       | 2026-02-16  
NOMBRE_243 APELLIDO_243        | ESTANDAR   |       243000 |       243000 |       | 2026-02-16  
NOMBRE_245 APELLIDO_245        | ESTANDAR   |       245000 |       245000 |       | 2026-02-16  
NOMBRE_247 APELLIDO_247        | ESTANDAR   |       247000 |       247000 |       | 2026-02-16  
NOMBRE_249 APELLIDO_249        | ESTANDAR   |       249000 |       249000 |       | 2026-02-16  
NOMBRE_251 APELLIDO_251        | ESTANDAR   |       251000 |       251000 |       | 2026-02-16  
NOMBRE_253 APELLIDO_253        | ESTANDAR   |       253000 |       253000 |       | 2026-02-16  
NOMBRE_255 APELLIDO_255        | ESTANDAR   |       255000 |       255000 |       | 2026-02-16  
NOMBRE_257 APELLIDO_257        | ESTANDAR   |       257000 |       257000 |       | 2026-02-16  
NOMBRE_259 APELLIDO_259        | ESTANDAR   |       259000 |       259000 |       | 2026-02-16  
NOMBRE_261 APELLIDO_261        | ESTANDAR   |       261000 |       261000 |       | 2026-02-16  
NOMBRE_263 APELLIDO_263        | ESTANDAR   |       263000 |       263000 |       | 2026-02-16  
NOMBRE_265 APELLIDO_265        | ESTANDAR   |       265000 |       265000 |       | 2026-02-16  
NOMBRE_267 APELLIDO_267        | ESTANDAR   |       267000 |       267000 |       | 2026-02-16  
NOMBRE_269 APELLIDO_269        | ESTANDAR   |       269000 |       269000 |       | 2026-02-16  
NOMBRE_271 APELLIDO_271        | ESTANDAR   |       271000 |       271000 |       | 2026-02-16  
NOMBRE_273 APELLIDO_273        | ESTANDAR   |       273000 |       273000 |       | 2026-02-16  
NOMBRE_275 APELLIDO_275        | ESTANDAR   |       275000 |       275000 |       | 2026-02-16  
NOMBRE_277 APELLIDO_277        | ESTANDAR   |       277000 |       277000 |       | 2026-02-16  
NOMBRE_279 APELLIDO_279        | ESTANDAR   |       279000 |       279000 |       | 2026-02-16  
NOMBRE_281 APELLIDO_281        | ESTANDAR   |       281000 |       281000 |       | 2026-02-16  
NOMBRE_283 APELLIDO_283        | ESTANDAR   |       283000 |       283000 |       | 2026-02-16  
NOMBRE_285 APELLIDO_285        | ESTANDAR   |       285000 |       285000 |       | 2026-02-16  
NOMBRE_287 APELLIDO_287        | ESTANDAR   |       287000 |       287000 |       | 2026-02-16  
NOMBRE_289 APELLIDO_289        | ESTANDAR   |       289000 |       289000 |       | 2026-02-16  
NOMBRE_291 APELLIDO_291        | ESTANDAR   |       291000 |       291000 |       | 2026-02-16  
NOMBRE_293 APELLIDO_293        | ESTANDAR   |       293000 |       293000 |       | 2026-02-16  
NOMBRE_295 APELLIDO_295        | ESTANDAR   |       295000 |       295000 |       | 2026-02-16  
NOMBRE_297 APELLIDO_297        | ESTANDAR   |       297000 |       297000 |       | 2026-02-16  
NOMBRE_299 APELLIDO_299        | ESTANDAR   |       299000 |       299000 |       | 2026-02-16  
NOMBRE_301 APELLIDO_301        | ESTANDAR   |       301000 |       301000 |       | 2026-02-16  
NOMBRE_303 APELLIDO_303        | ESTANDAR   |       303000 |       303000 |       | 2026-02-16  
NOMBRE_305 APELLIDO_305        | ESTANDAR   |       305000 |       305000 |       | 2026-02-16  
NOMBRE_307 APELLIDO_307        | ESTANDAR   |       307000 |       307000 |       | 2026-02-16  
NOMBRE_309 APELLIDO_309        | ESTANDAR   |       309000 |       309000 |       | 2026-02-16  
NOMBRE_311 APELLIDO_311        | ESTANDAR   |       311000 |       311000 |       | 2026-02-16  
NOMBRE_313 APELLIDO_313        | ESTANDAR   |       313000 |       313000 |       | 2026-02-16  
NOMBRE_315 APELLIDO_315        | ESTANDAR   |       315000 |       315000 |       | 2026-02-16  
NOMBRE_317 APELLIDO_317        | ESTANDAR   |       317000 |       317000 |       | 2026-02-16  
NOMBRE_319 APELLIDO_319        | ESTANDAR   |       319000 |       319000 |       | 2026-02-16  
NOMBRE_321 APELLIDO_321        | ESTANDAR   |       321000 |       321000 |       | 2026-02-16  
NOMBRE_323 APELLIDO_323        | ESTANDAR   |       323000 |       323000 |       | 2026-02-16  
NOMBRE_325 APELLIDO_325        | ESTANDAR   |       325000 |       325000 |       | 2026-02-16  
NOMBRE_327 APELLIDO_327        | ESTANDAR   |       327000 |       327000 |       | 2026-02-16  
NOMBRE_329 APELLIDO_329        | ESTANDAR   |       329000 |       329000 |       | 2026-02-16  
NOMBRE_331 APELLIDO_331        | ESTANDAR   |       331000 |       331000 |       | 2026-02-16  
NOMBRE_333 APELLIDO_333        | ESTANDAR   |       333000 |       333000 |       | 2026-02-16  
NOMBRE_335 APELLIDO_335        | ESTANDAR   |       335000 |       335000 |       | 2026-02-16  
NOMBRE_337 APELLIDO_337        | ESTANDAR   |       337000 |       337000 |       | 2026-02-16  
NOMBRE_339 APELLIDO_339        | ESTANDAR   |       339000 |       339000 |       | 2026-02-16  
NOMBRE_341 APELLIDO_341        | ESTANDAR   |       341000 |       341000 |       | 2026-02-16  
NOMBRE_343 APELLIDO_343        | ESTANDAR   |       343000 |       343000 |       | 2026-02-16  
NOMBRE_345 APELLIDO_345        | ESTANDAR   |       345000 |       345000 |       | 2026-02-16  
NOMBRE_347 APELLIDO_347        | ESTANDAR   |       347000 |       347000 |       | 2026-02-16  
NOMBRE_349 APELLIDO_349        | ESTANDAR   |       349000 |       349000 |       | 2026-02-16  
NOMBRE_351 APELLIDO_351        | ESTANDAR   |       351000 |       351000 |       | 2026-02-16  
NOMBRE_353 APELLIDO_353        | ESTANDAR   |       353000 |       353000 |       | 2026-02-16  
NOMBRE_355 APELLIDO_355        | ESTANDAR   |       355000 |       355000 |       | 2026-02-16  
NOMBRE_357 APELLIDO_357        | ESTANDAR   |       357000 |       357000 |       | 2026-02-16  
NOMBRE_359 APELLIDO_359        | ESTANDAR   |       359000 |       359000 |       | 2026-02-16  
NOMBRE_361 APELLIDO_361        | ESTANDAR   |       361000 |       361000 |       | 2026-02-16  
NOMBRE_363 APELLIDO_363        | ESTANDAR   |       363000 |       363000 |       | 2026-02-16  
NOMBRE_365 APELLIDO_365        | ESTANDAR   |       365000 |       365000 |       | 2026-02-16  
NOMBRE_367 APELLIDO_367        | ESTANDAR   |       367000 |       367000 |       | 2026-02-16  
NOMBRE_369 APELLIDO_369        | ESTANDAR   |       369000 |       369000 |       | 2026-02-16  
NOMBRE_371 APELLIDO_371        | ESTANDAR   |       371000 |       371000 |       | 2026-02-16  
NOMBRE_373 APELLIDO_373        | ESTANDAR   |       373000 |       373000 |       | 2026-02-16  
NOMBRE_375 APELLIDO_375        | ESTANDAR   |       375000 |       375000 |       | 2026-02-16  
NOMBRE_377 APELLIDO_377        | ESTANDAR   |       377000 |       377000 |       | 2026-02-16  
NOMBRE_379 APELLIDO_379        | ESTANDAR   |       379000 |       379000 |       | 2026-02-16  
NOMBRE_381 APELLIDO_381        | ESTANDAR   |       381000 |       381000 |       | 2026-02-16  
NOMBRE_383 APELLIDO_383        | ESTANDAR   |       383000 |       383000 |       | 2026-02-16  
NOMBRE_385 APELLIDO_385        | ESTANDAR   |       385000 |       385000 |       | 2026-02-16  
NOMBRE_387 APELLIDO_387        | ESTANDAR   |       387000 |       387000 |       | 2026-02-16  
NOMBRE_389 APELLIDO_389        | ESTANDAR   |       389000 |       389000 |       | 2026-02-16  
NOMBRE_391 APELLIDO_391        | ESTANDAR   |       391000 |       391000 |       | 2026-02-16  
NOMBRE_393 APELLIDO_393        | ESTANDAR   |       393000 |       393000 |       | 2026-02-16  
NOMBRE_395 APELLIDO_395        | ESTANDAR   |       395000 |       395000 |       | 2026-02-16  
NOMBRE_397 APELLIDO_397        | ESTANDAR   |       397000 |       397000 |       | 2026-02-16  
NOMBRE_399 APELLIDO_399        | ESTANDAR   |       399000 |       399000 |       | 2026-02-16  
NOMBRE_401 APELLIDO_401        | ESTANDAR   |       401000 |       401000 |       | 2026-02-16  
NOMBRE_403 APELLIDO_403        | ESTANDAR   |       403000 |       403000 |       | 2026-02-16  
NOMBRE_405 APELLIDO_405        | ESTANDAR   |       405000 |       405000 |       | 2026-02-16  
NOMBRE_407 APELLIDO_407        | ESTANDAR   |       407000 |       407000 |       | 2026-02-16  
NOMBRE_409 APELLIDO_409        | ESTANDAR   |       409000 |       409000 |       | 2026-02-16  
NOMBRE_411 APELLIDO_411        | ESTANDAR   |       411000 |       411000 |       | 2026-02-16  
NOMBRE_413 APELLIDO_413        | ESTANDAR   |       413000 |       413000 |       | 2026-02-16  
NOMBRE_415 APELLIDO_415        | ESTANDAR   |       415000 |       415000 |       | 2026-02-16  
NOMBRE_417 APELLIDO_417        | ESTANDAR   |       417000 |       417000 |       | 2026-02-16  
NOMBRE_419 APELLIDO_419        | ESTANDAR   |       419000 |       419000 |       | 2026-02-16  
NOMBRE_421 APELLIDO_421        | ESTANDAR   |       421000 |       421000 |       | 2026-02-16  
NOMBRE_423 APELLIDO_423        | ESTANDAR   |       423000 |       423000 |       | 2026-02-16  
NOMBRE_425 APELLIDO_425        | ESTANDAR   |       425000 |       425000 |       | 2026-02-16  
NOMBRE_427 APELLIDO_427        | ESTANDAR   |       427000 |       427000 |       | 2026-02-16  
NOMBRE_429 APELLIDO_429        | ESTANDAR   |       429000 |       429000 |       | 2026-02-16  
NOMBRE_431 APELLIDO_431        | ESTANDAR   |       431000 |       431000 |       | 2026-02-16  
NOMBRE_433 APELLIDO_433        | ESTANDAR   |       433000 |       433000 |       | 2026-02-16  
NOMBRE_435 APELLIDO_435        | ESTANDAR   |       435000 |       435000 |       | 2026-02-16  
NOMBRE_437 APELLIDO_437        | ESTANDAR   |       437000 |       437000 |       | 2026-02-16  
NOMBRE_439 APELLIDO_439        | ESTANDAR   |       439000 |       439000 |       | 2026-02-16  
NOMBRE_441 APELLIDO_441        | ESTANDAR   |       441000 |       441000 |       | 2026-02-16  
NOMBRE_443 APELLIDO_443        | ESTANDAR   |       443000 |       443000 |       | 2026-02-16  
NOMBRE_445 APELLIDO_445        | ESTANDAR   |       445000 |       445000 |       | 2026-02-16  
NOMBRE_447 APELLIDO_447        | ESTANDAR   |       447000 |       447000 |       | 2026-02-16  
NOMBRE_449 APELLIDO_449        | ESTANDAR   |       449000 |       449000 |       | 2026-02-16  
NOMBRE_451 APELLIDO_451        | ESTANDAR   |       451000 |       451000 |       | 2026-02-16  
NOMBRE_453 APELLIDO_453        | ESTANDAR   |       453000 |       453000 |       | 2026-02-16  
NOMBRE_455 APELLIDO_455        | ESTANDAR   |       455000 |       455000 |       | 2026-02-16  
NOMBRE_457 APELLIDO_457        | ESTANDAR   |       457000 |       457000 |       | 2026-02-16  
NOMBRE_459 APELLIDO_459        | ESTANDAR   |       459000 |       459000 |       | 2026-02-16  
NOMBRE_461 APELLIDO_461        | ESTANDAR   |       461000 |       461000 |       | 2026-02-16  
NOMBRE_463 APELLIDO_463        | ESTANDAR   |       463000 |       463000 |       | 2026-02-16  
NOMBRE_465 APELLIDO_465        | ESTANDAR   |       465000 |       465000 |       | 2026-02-16  
NOMBRE_467 APELLIDO_467        | ESTANDAR   |       467000 |       467000 |       | 2026-02-16  
NOMBRE_469 APELLIDO_469        | ESTANDAR   |       469000 |       469000 |       | 2026-02-16  
NOMBRE_471 APELLIDO_471        | ESTANDAR   |       471000 |       471000 |       | 2026-02-16  
NOMBRE_473 APELLIDO_473        | ESTANDAR   |       473000 |       473000 |       | 2026-02-16  
NOMBRE_475 APELLIDO_475        | ESTANDAR   |       475000 |       475000 |       | 2026-02-16  
NOMBRE_477 APELLIDO_477        | ESTANDAR   |       477000 |       477000 |       | 2026-02-16  
NOMBRE_479 APELLIDO_479        | ESTANDAR   |       479000 |       479000 |       | 2026-02-16  
NOMBRE_481 APELLIDO_481        | ESTANDAR   |       481000 |       481000 |       | 2026-02-16  
NOMBRE_483 APELLIDO_483        | ESTANDAR   |       483000 |       483000 |       | 2026-02-16  
NOMBRE_485 APELLIDO_485        | ESTANDAR   |       485000 |       485000 |       | 2026-02-16  
NOMBRE_487 APELLIDO_487        | ESTANDAR   |       487000 |       487000 |       | 2026-02-16  
NOMBRE_489 APELLIDO_489        | ESTANDAR   |       489000 |       489000 |       | 2026-02-16  
NOMBRE_491 APELLIDO_491        | ESTANDAR   |       491000 |       491000 |       | 2026-02-16  
NOMBRE_493 APELLIDO_493        | ESTANDAR   |       493000 |       493000 |       | 2026-02-16  
NOMBRE_495 APELLIDO_495        | ESTANDAR   |       495000 |       495000 |       | 2026-02-16  
NOMBRE_497 APELLIDO_497        | ESTANDAR   |       497000 |       497000 |       | 2026-02-16  
NOMBRE_499 APELLIDO_499        | ESTANDAR   |       499000 |       499000 |       | 2026-02-16  
NOMBRE_501 APELLIDO_501        | ESTANDAR   |       501000 |       501000 |       | 2026-02-16  
NOMBRE_503 APELLIDO_503        | ESTANDAR   |       503000 |       503000 |       | 2026-02-16  
NOMBRE_505 APELLIDO_505        | ESTANDAR   |       505000 |       505000 |       | 2026-02-16  
NOMBRE_507 APELLIDO_507        | ESTANDAR   |       507000 |       507000 |       | 2026-02-16  
NOMBRE_509 APELLIDO_509        | ESTANDAR   |       509000 |       509000 |       | 2026-02-16  
NOMBRE_511 APELLIDO_511        | ESTANDAR   |       511000 |       511000 |       | 2026-02-16  
NOMBRE_513 APELLIDO_513        | ESTANDAR   |       513000 |       513000 |       | 2026-02-16  
NOMBRE_515 APELLIDO_515        | ESTANDAR   |       515000 |       515000 |       | 2026-02-16  
NOMBRE_517 APELLIDO_517        | ESTANDAR   |       517000 |       517000 |       | 2026-02-16  
NOMBRE_519 APELLIDO_519        | ESTANDAR   |       519000 |       519000 |       | 2026-02-16  
NOMBRE_521 APELLIDO_521        | ESTANDAR   |       521000 |       521000 |       | 2026-02-16  
NOMBRE_523 APELLIDO_523        | ESTANDAR   |       523000 |       523000 |       | 2026-02-16  
NOMBRE_525 APELLIDO_525        | ESTANDAR   |       525000 |       525000 |       | 2026-02-16  
NOMBRE_527 APELLIDO_527        | ESTANDAR   |       527000 |       527000 |       | 2026-02-16  
NOMBRE_529 APELLIDO_529        | ESTANDAR   |       529000 |       529000 |       | 2026-02-16  
NOMBRE_531 APELLIDO_531        | ESTANDAR   |       531000 |       531000 |       | 2026-02-16  
NOMBRE_533 APELLIDO_533        | ESTANDAR   |       533000 |       533000 |       | 2026-02-16  
NOMBRE_535 APELLIDO_535        | ESTANDAR   |       535000 |       535000 |       | 2026-02-16  
NOMBRE_537 APELLIDO_537        | ESTANDAR   |       537000 |       537000 |       | 2026-02-16  
NOMBRE_539 APELLIDO_539        | ESTANDAR   |       539000 |       539000 |       | 2026-02-16  
NOMBRE_541 APELLIDO_541        | ESTANDAR   |       541000 |       541000 |       | 2026-02-16  
NOMBRE_543 APELLIDO_543        | ESTANDAR   |       543000 |       543000 |       | 2026-02-16  
NOMBRE_545 APELLIDO_545        | ESTANDAR   |       545000 |       545000 |       | 2026-02-16  
NOMBRE_547 APELLIDO_547        | ESTANDAR   |       547000 |       547000 |       | 2026-02-16  
NOMBRE_549 APELLIDO_549        | ESTANDAR   |       549000 |       549000 |       | 2026-02-16  
NOMBRE_551 APELLIDO_551        | ESTANDAR   |       551000 |       551000 |       | 2026-02-16  
NOMBRE_553 APELLIDO_553        | ESTANDAR   |       553000 |       553000 |       | 2026-02-16  
NOMBRE_555 APELLIDO_555        | ESTANDAR   |       555000 |       555000 |       | 2026-02-16  
NOMBRE_557 APELLIDO_557        | ESTANDAR   |       557000 |       557000 |       | 2026-02-16  
NOMBRE_559 APELLIDO_559        | ESTANDAR   |       559000 |       559000 |       | 2026-02-16  
NOMBRE_561 APELLIDO_561        | ESTANDAR   |       561000 |       561000 |       | 2026-02-16  
NOMBRE_563 APELLIDO_563        | ESTANDAR   |       563000 |       563000 |       | 2026-02-16  
NOMBRE_565 APELLIDO_565        | ESTANDAR   |       565000 |       565000 |       | 2026-02-16  
NOMBRE_567 APELLIDO_567        | ESTANDAR   |       567000 |       567000 |       | 2026-02-16  
NOMBRE_569 APELLIDO_569        | ESTANDAR   |       569000 |       569000 |       | 2026-02-16  
NOMBRE_571 APELLIDO_571        | ESTANDAR   |       571000 |       571000 |       | 2026-02-16  
NOMBRE_573 APELLIDO_573        | ESTANDAR   |       573000 |       573000 |       | 2026-02-16  
NOMBRE_575 APELLIDO_575        | ESTANDAR   |       575000 |       575000 |       | 2026-02-16  
NOMBRE_577 APELLIDO_577        | ESTANDAR   |       577000 |       577000 |       | 2026-02-16  
NOMBRE_579 APELLIDO_579        | ESTANDAR   |       579000 |       579000 |       | 2026-02-16  
NOMBRE_581 APELLIDO_581        | ESTANDAR   |       581000 |       581000 |       | 2026-02-16  
NOMBRE_583 APELLIDO_583        | ESTANDAR   |       583000 |       583000 |       | 2026-02-16  
NOMBRE_585 APELLIDO_585        | ESTANDAR   |       585000 |       585000 |       | 2026-02-16  
NOMBRE_587 APELLIDO_587        | ESTANDAR   |       587000 |       587000 |       | 2026-02-16  
NOMBRE_589 APELLIDO_589        | ESTANDAR   |       589000 |       589000 |       | 2026-02-16  
NOMBRE_591 APELLIDO_591        | ESTANDAR   |       591000 |       591000 |       | 2026-02-16  
NOMBRE_593 APELLIDO_593        | ESTANDAR   |       593000 |       593000 |       | 2026-02-16  
NOMBRE_595 APELLIDO_595        | ESTANDAR   |       595000 |       595000 |       | 2026-02-16  
NOMBRE_597 APELLIDO_597        | ESTANDAR   |       597000 |       597000 |       | 2026-02-16  
NOMBRE_599 APELLIDO_599        | ESTANDAR   |       599000 |       599000 |       | 2026-02-16  
NOMBRE_601 APELLIDO_601        | ESTANDAR   |       601000 |       601000 |       | 2026-02-16  
NOMBRE_603 APELLIDO_603        | ESTANDAR   |       603000 |       603000 |       | 2026-02-16  
NOMBRE_605 APELLIDO_605        | ESTANDAR   |       605000 |       605000 |       | 2026-02-16  
NOMBRE_607 APELLIDO_607        | ESTANDAR   |       607000 |       607000 |       | 2026-02-16  
NOMBRE_609 APELLIDO_609        | ESTANDAR   |       609000 |       609000 |       | 2026-02-16  
